model_name,HF_URL,downloads,has_modelcard,word_cnt,short_model_card(<=300),very_short_model_card(<=100),nonempty_section_num,empty_section_num,creation_year,creation_time
akdeniz27/roberta-large-cuad,https://huggingface.co/akdeniz27/roberta-large-cuad,5693,Yes,36.0,Yes,Yes,1.0,0.0,2021.0,2021-11-13
DaNLP/da-bert-tone-sentiment-polarity,https://huggingface.co/DaNLP/da-bert-tone-sentiment-polarity,11641,Yes,82.0,Yes,Yes,2.0,0.0,2021.0,2021-08-20
philschmid/distilbert-onnx,https://huggingface.co/philschmid/distilbert-onnx,4282,Yes,56.0,Yes,Yes,1.0,1.0,2022.0,2022-02-16
castorini/ance-msmarco-passage,https://huggingface.co/castorini/ance-msmarco-passage,5694,Yes,55.0,Yes,Yes,0.0,0.0,2021.0,2021-03-12
ufal/robeczech-base,https://huggingface.co/ufal/robeczech-base,39355,Yes,60.0,Yes,Yes,1.0,0.0,2021.0,2021-05-23
prithivida/parrot_fluency_model,https://huggingface.co/prithivida/parrot_fluency_model,92108,Yes,47.0,Yes,Yes,0.0,0.0,2022.0,2022-05-27
yiyanghkust/finbert-pretrain,https://huggingface.co/yiyanghkust/finbert-pretrain,4812,Yes,95.0,Yes,Yes,0.0,0.0,2021.0,2021-08-23
microsoft/unixcoder-base,https://huggingface.co/microsoft/unixcoder-base,9725,Yes,3.0,Yes,Yes,0.0,1.0,2022.0,2022-03-23
CAUKiel/JavaBERT,https://huggingface.co/CAUKiel/JavaBERT,6777,Yes,92.0,Yes,Yes,5.0,0.0,2021.0,2021-09-16
impira/layoutlm-document-classifier,https://huggingface.co/impira/layoutlm-document-classifier,35466,Yes,1.0,Yes,Yes,0.0,0.0,2022.0,2022-09-19
stanfordnlp/stanza-en,https://huggingface.co/stanfordnlp/stanza-en,5871,Yes,76.0,Yes,Yes,1.0,0.0,2021.0,2021-09-07
sberbank-ai/ruBert-base,https://huggingface.co/sberbank-ai/ruBert-base,10494,Yes,28.0,Yes,Yes,1.0,0.0,2021.0,2021-07-06
asahi417/tner-xlm-roberta-base-ontonotes5,https://huggingface.co/asahi417/tner-xlm-roberta-base-ontonotes5,8462,Yes,28.0,Yes,Yes,2.0,0.0,2021.0,2021-02-11
wietsedv/xlm-roberta-base-ft-udpos28-tr,https://huggingface.co/wietsedv/xlm-roberta-base-ft-udpos28-tr,6990,Yes,53.0,Yes,Yes,2.0,0.0,2022.0,2022-02-24
microsoft/cocolm-base,https://huggingface.co/microsoft/cocolm-base,64002,Yes,87.0,Yes,Yes,2.0,0.0,2021.0,2021-10-29
nbroad/ESG-BERT,https://huggingface.co/nbroad/ESG-BERT,39068,Yes,89.0,Yes,Yes,3.0,0.0,2021.0,2021-12-16
SAPOSS/password-model,https://huggingface.co/SAPOSS/password-model,6212,Yes,99.0,Yes,Yes,3.0,0.0,2021.0,2021-10-06
rttl-ai/foody-bert,https://huggingface.co/rttl-ai/foody-bert,4008,Yes,57.0,Yes,Yes,1.0,0.0,2022.0,2022-09-11
openai/clip-vit-large-patch14-336,https://huggingface.co/openai/clip-vit-large-patch14-336,33649,Yes,95.0,Yes,Yes,4.0,4.0,2022.0,2022-04-22
nreimers/mMiniLMv2-L6-H384-distilled-from-XLMR-Large,https://huggingface.co/nreimers/mMiniLMv2-L6-H384-distilled-from-XLMR-Large,12143,Yes,8.0,Yes,Yes,1.0,0.0,2021.0,2021-06-20
